QB,CLASS,247 RATINGS,STARS,HEIGHT,WEIGHT,POSITION,STATE,HOMETOWN,HIGH SCHOOL,COMMITTED DATE,POSITION RANK,NATIONAL RANK,STATE RANK,COMMITTED SCHOOL ID,COMMITTED SCHOOL,RECRUIT STATUS,PLAYER URL,,,,,,,,STRAIGHT LINE DISTANCE (MILES),DRIVING DISTANCE (MILES)
Seth Sendry,2025,,0,Jun-00,170,QB,Michigan,Detroit,Cass Technical,,,,,24313,Wayne State,HardCommit,https://247sports.com/player/seth-sendry-46155788/,,,,,,,,2.2,3.3
Jack Benson,2025,,0,3-Jun,170,QB,Idaho,Eagle,Eagle,,,,,24117,Boise St.,HardCommit,https://247sports.com/player/jack-benson-46100950/,,,,,,,,10,11.6
Skyler Williams,2025,,0,1-Jun,222,QB,Georgia,Warner Robins,Warner Robins,,,,,24363,Kennesaw State,Enrolled,https://247sports.com/player/skyler-williams-46155869/,,,,,,,,113.1,125.7
Landon Sims,2025,,0,3-Jun,190,QB,Alabama,Evergreen,Escambia Academy,,,,,24086,Wyoming,Enrolled,https://247sports.com/player/landon-sims-46155884/,,,,,,,,1235.9,1627.7
Luke Dunham,2025,,0,3-Jun,185,QB,Texas,Austin,McCallum,,,,,24028,Texas,Enrolled,https://247sports.com/player/luke-dunham-46155984/,,,,,,,,1.1,1.5
Trey Kukuk,2025,,0,1-Jun,210,QB,California,Mission Viejo,Capistrano Valley,,,,,24121,Louisiana Tech,Enrolled,https://247sports.com/player/trey-kukuk-46128022/,,,,,,,,1446.7,1676
Zach Wilcke,2025,,0,3-Jun,205,QB,Mississippi,Hernando,Hernando,,,,,24318,Charlotte,Enrolled,https://247sports.com/player/zach-wilcke-46101994/,,,,,,,,536,622
Marcus Beamon,2025,,0,Jun-00,195,QB,Mississippi,Philadelphia,Philadelphia,,,,,24069,Central Michigan,Enrolled,https://247sports.com/player/marcus-beamon-46156330/,,,,,,,,783.1,949.4
Brady Jones,2025,,0,4-Jun,215,QB,California,Murrieta,Vista Murrieta,,,,,24077,Western Michigan,Enrolled,https://247sports.com/player/brady-jones-46156605/,,,,,,,,1812.4,2146.7
Mason Schubert,2025,,0,3-Jun,188,QB,Oklahoma,Stillwater,Stillwater,,,,,24027,Oklahoma State,Enrolled,https://247sports.com/player/mason-schubert-46160823/,,,,,,,,2,2.8
Jax Leatherwood,2025,,0,8-Jun,253,QB,California,San Diego,Scripps Ranch,,,,,24267,Southeast Missouri State,Enrolled,https://247sports.com/player/jax-leatherwood-46128693/,,,,,,,,1589.7,1902.4
Teddy Booras,2025,,0,3-Jun,200,QB,California,San Ramon,California,,,,,24121,Louisiana Tech,Enrolled,https://247sports.com/player/teddy-booras-46125399/,,,,,,,,1687.5,1954.9
Ethan Thanthanavong,2025,,0,Jun-00,205,QB,Ohio,Carroll,Bloom-Carroll,,,,,29261,Defiance College,Enrolled,https://247sports.com/player/ethan-thanthanavong-46164775/,,,,,,,,178.4,235.2
Jaden Haly,2025,,0,11-May,180,QB,New York,New York,A. Philip Randolph Campus,,,,,24195,Sacred Heart,Enrolled,https://247sports.com/player/jaden-haly-46164857/,,,,,,,,53.1,60.4
James Johnson,2025,,0,11-May,190,QB,California,Rancho Santa Margarita,Santa Margarita Catholic,,,,,24211,Holy Cross,Enrolled,https://247sports.com/player/james-johnson-46169945/,,,,,,,,2533.4,2960.2
Holden Phillips,2025,,0,1-Jun,205,QB,Texas,Wolfforth,Wolfforth Frenship,,,,,24030,Texas Tech,Enrolled,https://247sports.com/player/holden-phillips-46169996/,,,,,,,,8.7,10
Keisean Henderson,2026,100,5,5-Jun,195,QB,Texas,Spring,Legacy the School of Sport Sciences,,1,1,1,24051,Houston,Enrolled,https://247sports.com/player/keisean-henderson-46129516/,,,,,,,,24.4,27.6
Jared Curtis,2026,99,5,3-Jun,230,QB,Tennessee,Nashville,Nashville Christian,5/5/2025,2,2,1,24107,Vanderbilt,Enrolled,https://247sports.com/player/jared-curtis-46138517/,,,,,,,,2,2.9
Faizon Brandon,2026,99,5,4-Jun,225,QB,North Carolina,Greensboro,Grimsley,8/3/2024,3,3,1,24106,Tennessee,Enrolled,https://247sports.com/player/faizon-brandon-46137277/,,,,,,,,231.5,292.5
Dia Bell,2026,97,4,3-Jun,206,QB,Florida,Fort Lauderdale,American Heritage,,5,38,4,24028,Texas,Enrolled,https://247sports.com/player/dia-bell-46131875/,,,,,,,,1107.7,1315.3
Ryder Lyons,2026,96,4,6-2.5,220,QB,California,Folsom,Folsom,6/24/2025,6,65,7,24079,BYU,Signed,https://247sports.com/player/ryder-lyons-46131227/,,,,,,,,519.3,678.3
Jett Thomalla,2026,97,4,4-Jun,229,QB,Nebraska,Omaha,Millard South,,4,36,1,24096,Alabama,Enrolled,https://247sports.com/player/jett-thomalla-46150237/,,,,,,,,722.1,865.1
Bowe Bentley,2026,95,4,1-Jun,208,QB,Texas,Celina,Celina,,8,109,14,24026,Oklahoma,Enrolled,https://247sports.com/player/bowe-bentley-46152912/,,,,,,,,134.7,162.2
Jonas Williams,2026,95,4,1-Jun,220,QB,Illinois,Frankfort,Lincoln-Way East,8/3/2024,7,106,2,24257,USC,Enrolled,https://247sports.com/player/jonas-williams-46136886/,,,,,,,,1730.7,2010.2
Jake Fette,2026,93,4,1-Jun,190,QB,Texas,El Paso,El Paso Del Valle,,11,182,25,24088,Arizona State,Enrolled,https://247sports.com/player/jake-fette-46147239/,,,,,,,,337.1,425.1
Landon Duckworth,2026,93,4,4-Jun,215,QB,Alabama,Jackson,Jackson,7/18/2025,10,154,8,24105,South Carolina,Enrolled,https://247sports.com/player/landon-duckworth-46139845/,,,,,,,,287.8,362.6
Tradon Bessinger,2026,92,4,5-Jun,213,QB,Utah,Kaysville,Davis,,12,187,6,24041,Iowa,Enrolled,https://247sports.com/player/tradon-bessinger-46149179/,,,,,,,,1056.6,1173.6
Bryson Beaver,2026,91,4,3-Jun,205,QB,California,Murrieta,Vista Murrieta,,14,286,27,24090,Oregon,Enrolled,https://247sports.com/player/bryson-beaver-46144520/,,,,,,,,789.6,931.8
Matt Ponatoski,2026,89,3,1-Jun,205,QB,Ohio,Cincinnati,Archbishop Moeller,,22,426,18,24101,Kentucky,Enrolled,https://247sports.com/player/matt-ponatoski-46149817/,,,,,,,,74.3,83.6
Will Griffin,2026,90,4,3-Jun,219,QB,Florida,Tampa,Tampa Jesuit,,16,323,38,24099,Florida,Enrolled,https://247sports.com/player/will-griffin-46134943/,,,,,,,,117.4,130.1
Teddy Jarrard,2026,89,3,4-Jun,210,QB,Georgia,Kennesaw,North Cobb,7/24/2025,25,429,40,24064,Notre Dame,Enrolled,https://247sports.com/player/teddy-jarrard-46150265/,,,,,,,,538,622.4
Grant Lawless,2026,90,4,4-Jun,195,QB,North Carolina,Denver,East Lincoln,,17,324,15,24018,Wake Forest,Enrolled,https://247sports.com/player/grant-lawless-46155617/,,,,,,,,59.3,70.1
Travis Burgess,2026,95,4,4-Jun,193,QB,Georgia,Loganville,Grayson,,9,115,12,24014,North Carolina,Enrolled,https://247sports.com/player/travis-burgess-46146928/,,,,,,,,309.9,356
Briggs Cherry,2026,90,4,4-Jun,215,QB,Tennessee,Chattanooga,Baylor School,,18,325,11,24033,Louisville,Enrolled,https://247sports.com/player/briggs-cherry-46137059/,,,,,,,,220.3,274.4
Kayd Coffman,2026,89,3,2-Jun,206,QB,Michigan,Grand Rapids,East Kentwood,,24,428,9,24043,Michigan State,Enrolled,https://247sports.com/player/kayd-coffman-46149774/,,,,,,,,62.8,74.4
Dereon Coleman,2026,89,3,1-Jun,175,QB,Florida,Orlando,Jones,7/3/2024,21,411,46,24013,Miami,Enrolled,https://247sports.com/player/dereon-coleman-46129931/,,,,,,,,206.6,240.3
Helaman Casuga,2026,90,4,Jun-00,213,QB,Utah,Draper,Corner Canyon,10/17/2024,20,327,10,24029,Texas A&M,Enrolled,https://247sports.com/player/helaman-casuga-46135952/,,,,,,,,1105.8,1337.2
Tommy Carr,2026,91,4,4-Jun,185,QB,Michigan,Saline,Saline,,15,287,6,24042,Michigan,Enrolled,https://247sports.com/player/tommy-carr-46140880/,,,,,,,,9.5,13.8
Rocco Marriott,2026,89,3,4-Jun,220,QB,Missouri,Platte City,Platte County,,23,427,4,24060,UCF,Enrolled,https://247sports.com/player/rocco-marriott-46140841/,,,,,,,,1074.2,1279
Oscar Rios,2026,89,3,3-Jun,170,QB,California,Downey,Downey,6/27/2025,26,430,37,24087,Arizona,Enrolled,https://247sports.com/player/oscar-rios-46140329/,,,,,,,,431.8,485.2
Troy Huhn,2026,89,3,4-Jun,215,QB,California,San Marcos,Mission Hills,12/1/2025,28,432,38,24017,Virginia Tech,Enrolled,https://247sports.com/player/troy-huhn-46139834/,,,,,,,,2081.3,2429
Brady Smigiel,2026,88,3,5-Jun,215,QB,California,Newbury Park,Newbury Park,,37,626,44,24042,Michigan,Enrolled,https://247sports.com/player/brady-smigiel-46117474/,,,,,,,,1975.2,2283.2
Jaden O'Neal,2026,87,3,3-Jun,231,QB,Oklahoma,Mustang,Mustang,,49,949,20,24010,Florida State,Enrolled,https://247sports.com/player/jaden-oneal-46131911/,,,,,,,,849.4,1011
Corey Dailey,2026,91,4,6-Jun,200,QB,Texas,Seguin,Seguin,,13,223,34,24034,Pittsburgh,Enrolled,https://247sports.com/player/corey-dailey-46138349/,,,,,,,,1261.8,1478.4
Cole Bergeron,2026,90,4,5-Jun,225,QB,Louisiana,Lafayette,St. Thomas More,,19,326,14,24011,Georgia Tech,Enrolled,https://247sports.com/player/cole-bergeron-46139744/,,,,,,,,509.2,583.6
Peyton Falzone,2026,89,3,5-Jun,216,QB,Pennsylvania,Nazareth,Nazareth,,27,431,11,24047,Penn State,Enrolled,https://247sports.com/player/peyton-falzone-46150427/,,,,,,,,134,163.7
Noah Grubbs,2026,88,3,4-Jun,210,QB,Florida,Lake Mary,Lake Mary,,30,590,75,24064,Notre Dame,Enrolled,https://247sports.com/player/noah-grubbs-46137781/,,,,,,,,936.2,1084
Jyron Hughley,2026,89,3,2-Jun,199,QB,Florida,West Palm Beach,Cardinal Newman,,26,420,55,24038,West Virgina,Enrolled,https://247sports.com/player/jyron-hughley-46116961/,,,,,,,,892.7,1038.8
Hank Hendrix,2026,88,3,3-Jun,190,QB,Arkansas,Fayetteville,Fayetteville,,35,611,7,24097,Arkansas,Enrolled,https://247sports.com/player/hank-hendrix-46145107/,,,,,,,,2.5,4.1
Derek Zammit,2026,88,3,1-Jun,210,QB,New Jersey,Wayne,DePaul Catholic,,36,612,12,24094,Washington,Enrolled,https://247sports.com/player/derek-zammit-46143305/,,,,,,,,2381.7,2849.8
Tait Reynolds,2026,88,3,2-Jun,215,QB,Arizona,Queen Creek,Queen Creek,,31,607,6,24008,Clemson,Enrolled,https://247sports.com/player/tait-reynolds-46141165/,,,,,,,,1649.8,1953.3
Gavin Sidwar,2026,89,3,3-Jun,190,QB,Pennsylvania,Wyndmoor,La Salle College,,29,478,13,24024,Missouri,Enrolled,https://247sports.com/player/gavin-sidwar-46136167/,,,,,,,,915.5,998.6
Luke Fahey,2026,88,3,11-May,206,QB,California,Mission Viejo,Mission Viejo,7/3/2025,38,644,46,24046,Ohio State,Enrolled,https://247sports.com/player/luke-fahey-46146282/,,,,,,,,1953.4,2250.9
Dante Carr,2026,88,3,4-Jun,220,QB,Pennsylvania,Minersville,Minersville,,40,741,21,24060,UCF,Enrolled,https://247sports.com/player/dante-carr-46159006/,,,,,,,,880.8,1023.1
Terry Walker III,2026,88,3,4-Jun,190,QB,Indiana,Fishers,Hamilton Southeastern ,,33,609,8,24009,Duke,Enrolled,https://247sports.com/player/terry-walker-iii-46139657/,,,,,,,,471.9,594.1
Tayden-Evan Kaawa,2026,86,3,5-Jun,238,QB,Utah,Orem,Orem,7/22/2025,66,1426,21,24096,Alabama,Enrolled,https://247sports.com/player/tayden-evan-kaawa-46141028/,,,,,,,,1418.5,1850.1
Xavier Stearn,2026,87,3,6-Jun,220,QB,Pennsylvania,Fort Washington,Germantown Academy,,45,885,25,24035,Rutgers,Enrolled,https://247sports.com/player/xavier-stearn-46146796/,,,,,,,,46.1,67.5
Nainoa Lopes,2026,88,3,3-Jun,185,QB,Hawaii,Honolulu,St. Louis,,34,610,4,24089,California,Enrolled,https://247sports.com/player/nainoa-lopes-46146726/,,,,,,,,2406.2,
Ryan Hopkins,2026,87,3,3-Jun,205,QB,California,Santa Ana,Mater Dei,,48,905,67,24049,Wisconsin,Enrolled,https://247sports.com/player/ryan-hopkins-46144241/,,,,,,,,1659,1962.6
Miles Teodecki,2026,87,3,2-Jun,205,QB,Texas,Austin,Austin Vandegrift,,54,1095,152,24168,Pennsylvania,HardCommit,https://247sports.com/player/miles-teodecki-46154269/,,,,,,,,1433.5,1658.7
Mike Mitchell Jr.,2026,86,3,11-May,180,QB,California,San Francisco,Archbishop Riordan,,61,1337,102,24092,Stanford,Enrolled,https://247sports.com/player/mike-mitchell-jr-46135993/,,,,,,,,27.9,33.6
Deagan Rose,2026,87,3,2-Jun,220,QB,California,Clovis,Clovis,,50,950,73,24118,Fresno State,Enrolled,https://247sports.com/player/deagan-rose-46139546/,,,,,,,,1.9,2.1
Easton Webb,2026,87,3,4-Jun,205,QB,Oklahoma,Sand Springs,Charles Page,,41,857,16,24240,Texas State,Enrolled,https://247sports.com/player/easton-webb-46156743/,,,,,,,,444.5,485.2
Kane Archer,2026,85,3,1-Jun,200,QB,Arkansas,Greenwood,Greenwood,,82,1695,18,24085,Utah,Enrolled,https://247sports.com/player/kane-archer-46130500/,,,,,,,,1028.9,1332.4
Nathan Bernhard,2026,87,3,5-Jun,227,QB,Ohio,Ashland,Ashland,,51,954,41,24012,Maryland,Enrolled,https://247sports.com/player/nathan-bernhard-46139677/,,,,,,,,307.9,400.5
Bryshawn Brown,2026,86,3,6-Jun,200,QB,Ohio,Cincinnati,Winton Woods,,72,1474,69,24073,Northern Illinois,Enrolled,https://247sports.com/player/bryshawn-brown-46147112/,,,,,,,,297.7,350.6
Stephen Cannon,2026,88,3,2-Jun,205,QB,Georgia,Savannah,Benedictine Military School,,32,608,62,24030,Texas Tech,Enrolled,https://247sports.com/player/stephen-cannon-46149189/,,,,,,,,1210.4,1330.2
Jackson Taylor,2026,87,3,1-Jun,202,QB,California,Westlake Village,Thousand Oaks,,47,887,65,24117,Boise St.,Enrolled,https://247sports.com/player/jackson-taylor-46128483/,,,,,,,,668.2,849.7
Cade Mitchell,2026,86,3,1-Jun,220,QB,Oregon,Beaverton,Mountainside,,77,1498,6,24081,New Mexico,Enrolled,https://247sports.com/player/cade-mitchell-46154129/,,,,,,,,1111.6,1372.8
DJ Bordeaux,2026,87,3,2-Jun,200,QB,Colorado,Parker,Legend,,55,1161,15,24093,UCLA,Enrolled,https://247sports.com/player/dj-bordeaux-46137657/,,,,,,,,844.3,1055.3
Femi Babalola,2026,87,3,4-Jun,230,QB,Tennessee,Brentwood,Ravenwood,,42,858,23,24007,Boston College,Enrolled,https://247sports.com/player/femi-babalola-46151740/,,,,,,,,940.8,1097.2
Jack Daulton,2026,87,3,2-Jun,195,QB,Texas,The Woodlands,The Woodlands,,43,859,112,24083,TCU,Enrolled,https://247sports.com/player/jack-daulton-46155428/,,,,,,,,206.5,236.1
Quinn Murphy,2026,85,3,3-Jun,209,QB,Texas,Argyle,Liberty Christian,,80,1692,212,24019,Baylor,Enrolled,https://247sports.com/player/quinn-murphy-46136226/,,,,,,,,107.8,116.8
Qur'an McNeill,2026,86,3,3-Jun,215,QB,Massachusetts,Milton,Milton Academy,,69,1470,13,24068,Buffalo,Enrolled,https://247sports.com/player/quran-mcneill-46142722/,,,,,,,,399.4,461.9
Brodie McWhorter,2026,86,3,2-Jun,220,QB,Georgia,White,Cass,,62,1338,130,24104,Mississippi State,Enrolled,https://247sports.com/player/brodie-mcwhorter-46134947/,,,,,,,,295.7,359.1
Kaneal Sweetwyne,2026,85,3,3-Jun,195,QB,Utah,Lehi,Skyridge,,89,1872,24,24020,Colorado,Enrolled,https://247sports.com/player/kaneal-sweetwyne-46135437/,,,,,,,,348.3,532.2
Michael Johnson,2026,87,3,Jun-00,175,QB,Georgia,Douglasville,Douglas County,,53,1061,114,24085,Utah,Enrolled,https://247sports.com/player/michael-johnson-46144572/,,,,,,,,1559.2,1865
Corin Berry,2026,87,3,3-Jun,206,QB,California,Covina,Charter Oak,,52,1038,75,24048,Purdue,Enrolled,https://247sports.com/player/corin-berry-46150143/,,,,,,,,1748.4,2076.9
Luke Tepas,2026,87,3,3-Jun,207,QB,Illinois,Barrington,Barrington,,46,886,22,24027,Oklahoma State,Enrolled,https://247sports.com/player/luke-tepas-46163218/,,,,,,,,634.4,770.4
Nelson Peterson Jr.,2026,85,3,6-2.5,195,QB,Texas,Forney,Forney,,104,1956,266,24249,Texas Southern,Signed,https://247sports.com/player/nelson-peterson-jr-46134591/,,,,,,,,219.2,243.6
Cash Herrera,2026,88,3,2-Jun,204,QB,California,La Jolla,The Bishop's School,,39,721,54,24117,Boise St.,Enrolled,https://247sports.com/player/cash-herrera-46148370/,,,,,,,,745.5,927.7
John Johnson III,2026,87,3,10-May,178,QB,Louisiana,New Orleans,Edna Karr,,59,919,30,24038,West Virgina,Enrolled,https://247sports.com/player/john-johnson-iii-46156141/,,,,,,,,880.2,1018.5
Bronzden Chaffin,2026,87,3,4-Jun,235,QB,Tennessee,Baxter,Upperman,,44,884,24,24224,Appalachian State,Enrolled,https://247sports.com/player/bronzden-chaffin-46156533/,,,,,,,,220.7,278.7
Jarin Mock,2026,86,3,3-Jun,212,QB,Ohio,Pickerington,Pickerington North,,65,1382,60,24067,Bowling Green,Enrolled,https://247sports.com/player/jarin-mock-46149537/,,,,,,,,113.1,135.5
Hudson Kurland,2026,85,3,4-Jun,193,QB,Oregon,Lake Oswego,Lake Oswego,,97,1924,9,24021,Iowa State,Enrolled,https://247sports.com/player/hudson-kurland-46152132/,,,,,,,,1460,1834.4
Jaylen White,2026,85,3,Jun-00,200,QB,Florida,Clearwater,Clearwater,,106,1958,204,24318,Charlotte,Enrolled,https://247sports.com/player/jaylen-white-46156429/,,,,,,,,513,723
Kase Evans,2026,86,3,3-Jun,200,QB,Texas,Lexington,Lexington,,57,1245,163,24047,Penn State,Enrolled,https://247sports.com/player/kase-evans-46158932/,,,,,,,,1288.4,1521.1
Derek Garcia,2026,86,3,4-Jun,205,QB,California,Ventura,Ventura,,64,1340,103,24084,UNLV,Enrolled,https://247sports.com/player/derek-garcia-46137526/,,,,,,,,249.8,301.7
Owen Lansu,2026,85,3,1-Jun,195,QB,Illinois,Downers Grove,Downers Grove North,,93,1907,48,24044,Minnesota,Enrolled,https://247sports.com/player/owen-lansu-46140777/,,,,,,,,340.5,404
Cam O'Hara,2026,86,3,2-Jun,210,QB,Kentucky,Union,Cooper,,58,1246,9,24116,Western Kentucky,Enrolled,https://247sports.com/player/cam-ohara-46144455/,,,,,,,,94,125.2
Malachi Marshall,2026,86,3,2-Jun,168,QB,South Carolina,Rock Hill,South Pointe,,2,1643,4,24010,Florida State,Enrolled,https://247sports.com/player/malachi-marshall-46138422/,,,,,,,,363.5,445.4
Semaj Beals,2026,86,3,1-Jun,190,QB,Pennsylvania,Philadelphia,Roman Catholic,7/19/2025,68,1447,41,24065,Akron,Enrolled,https://247sports.com/player/semaj-beals-46136316/,,,,,,,,342.3,408.6
Michael Clayton II,2026,86,3,4-Jun,210,QB,Florida,Miami,Miami Edison,,56,1244,125,24039,Illinois,Enrolled,https://247sports.com/player/michael-clayton-ii-46141419/,,,,,,,,1091.2,1277
Jaylen Mason,2026,85,3,2-Jun,200,QB,Kansas,Wichita,Wichita Northwest,,81,1694,15,24022,Kansas,Enrolled,https://247sports.com/player/jaylen-mason-46143819/,,,,,,,,142.3,162.6
Hugh Price,2026,85,3,5-Jun,192,QB,Tennessee,Nashville,Montgomery Bell Academy,,100,1949,61,24056,Southern Miss,Enrolled,https://247sports.com/player/hugh-price-46144823/,,,,,,,,364.9,421.9
Darnell Kelly,2026,86,3,2-Jun,185,QB,Georgia,Fairburn,Langston Hughes,,73,1475,142,24080,Colorado St.,Enrolled,https://247sports.com/player/darnell-kelly-46147943/,,,,,,,,1225.9,1473.3
Zaid Lott,2026,86,3,4-Jun,225,QB,North Carolina,Charlotte,Providence Day School,,78,1499,43,24037,Syracuse,Enrolled,https://247sports.com/player/zaid-lott-46142511/,,,,,,,,594.6,725.7
Rees Wise,2026,86,3,1-Jun,205,QB,Texas,Austin,Austin Westlake,,63,1339,175,24103,Ole Miss,Enrolled,https://247sports.com/player/rees-wise-46143797/,,,,,,,,556,728.2
Ayden Wilhelm,2026,85,3,1-Jun,188,QB,Missouri,Blue Springs,Blue Springs South,,91,1889,32,24054,Rice,Enrolled,https://247sports.com/player/ayden-wilhelm-46156081/,,,,,,,,645.8,740.2
Zeke Andrews,2026,83,3,6-Jun,210,QB,Colorado,Arvada,Ralston Valley,,190,2773,26,24131,Northern Colorado,Signed,https://247sports.com/player/zeke-andrews-46160668/,,,,,,,,46.2,61.3
Johnny O'Brien,2026,86,3,3-Jun,200,QB,Illinois,Palatine,Fremd,,71,1472,33,24045,Northwestern,Enrolled,https://247sports.com/player/johnny-obrien-46146268/,,,,,,,,19.3,21.4
Gannon Jones,2026,85,3,11-May,175,QB,North Carolina,Raleigh,Cardinal Gibbons,,101,1953,56,24018,Wake Forest,Enrolled,https://247sports.com/player/gannon-jones-46148068/,,,,,,,,94.7,107
Brady Palmer,2026,86,3,2-Jun,200,QB,California,San Diego,Cathedral Catholic,,59,1247,93,24044,Minnesota,Enrolled,https://247sports.com/player/brady-palmer-46148348/,,,,,,,,1534.8,1974.3
Rhys Brush,2026,85,3,2-Jun,195,QB,Florida,Seffner,Armwood,,86,1729,172,24098,Auburn,Enrolled,https://247sports.com/player/rhys-brush-46152660/,,,,,,,,371.8,435
Drew Bellisari,2026,85,3,3-Jun,190,QB,Ohio,Columbus,Bishop Watterson,,103,1955,94,24072,Miami (OH),Enrolled,https://247sports.com/player/drew-bellisari-46156883/,,,,,,,,97.1,108.9
Osiris Lopez,2026,85,3,2-Jun,200,QB,Massachusetts,Leominster,Leominster,,94,1909,15,24136,Coastal Carolina,Enrolled,https://247sports.com/player/osiris-lopez-46142273/,,,,,,,,719.9,854.9
Wyatt Walker Brown,2026,84,3,3-Jun,200,QB,California,Sherman Oaks,Notre Dame,,137,2470,193,24038,West Virgina,Enrolled,https://247sports.com/player/wyatt-walker-brown-46148930/,,,,,,,,2143.9,2457.8
Noah Lee,2026,86,3,4-Jun,205,QB,Alabama,Jacksonville,Jacksonville Christian Academy,,74,1476,52,24201,Jacksonville State,Enrolled,https://247sports.com/player/noah-lee-46149789/,,,,,,,,0.8,0.9
Brody Norman,2026,85,3,Jun-00,190,QB,North Carolina,Mooresville,Mooresville,,102,1954,57,24075,Temple,Enrolled,https://247sports.com/player/brody-norman-46155618/,,,,,,,,432.9,520.6
Champ Mayo,2026,86,3,3-Jun,185,QB,Texas,Temple,Temple,,70,1471,196,24511,Eastern New Mexico,Signed,https://247sports.com/player/champ-mayo-46153372/,,,,,,,,409.4,460.7
Tyler Bell,2026,85,3,1-Jun,190,QB,New Jersey,Jersey City,St. Peter's Prep,,92,1890,38,24142,Delaware,Enrolled,https://247sports.com/player/tyler-bell-46159707/,,,,,,,,115.2,128.1
Aedan McCarthy,2026,85,3,5-Jun,230,QB,South Carolina,Bluffton,Bluffton,,95,1910,28,24146,Umass,Enrolled,https://247sports.com/player/aedan-mccarthy-46163224/,,,,,,,,836.7,957
Grant Smith,2026,83,3,6-3.5,205,QB,Texas,Spring,Grand Oaks,,146,2789,343,24151,Towson,Signed,https://247sports.com/player/grant-smith-46140525/,,,,,,,,1242,1425.1
Levi Davis,2026,85,3,Jun-00,192,QB,Ohio,Lewis Center,Olentangy Orange,,85,1713,82,24074,Ohio,Enrolled,https://247sports.com/player/levi-davis-46141089/,,,,,,,,77.3,94.3
Jacob Chambers,2026,86,3,1-Jun,185,QB,California,Rancho Cucamonga,Rancho Cucamonga,,75,1495,110,24118,Fresno State,Enrolled,https://247sports.com/player/jacob-chambers-46146901/,,,,,,,,223.7,262.3
Broderick Vehrs,2026,82,3,11-May,205,QB,Arizona,Chandler,Basha,,179,3211,55,24027,Oklahoma State,Enrolled,https://247sports.com/player/broderick-vehrs-46152848/,,,,,,,,859.3,1015
Mason Atkins,2026,85,3,3-Jun,218,QB,Illinois,Aurora,West Aurora,,108,1962,49,24066,Ball State,Enrolled,https://247sports.com/player/mason-atkins-46155303/,,,,,,,,185.4,243
Daniel Rolovich,2026,85,3,4-Jun,210,QB,California,Novato,San Marin,,88,1842,126,24124,San Jose State,Enrolled,https://247sports.com/player/daniel-rolovich-46140123/,,,,,,,,65.2,72.8
Brooks Goodman,2026,85,3,2-Jun,212,QB,Georgia,Roswell,Blessed Trinity Catholic,,99,1940,182,24031,Cincinnati,Enrolled,https://247sports.com/player/brooks-goodman-46151318/,,,,,,,,352.9,445.8
Angelo Renda,2026,85,3,Jun-00,180,QB,Texas,Southlake,Southlake Carroll,,90,1874,254,24034,Pittsburgh,Enrolled,https://247sports.com/player/angelo-renda-46153023/,,,,,,,,1080.7,1247.8
Jackson Presley,2026,84,3,2-Jun,195,QB,Montana,Kalispell,Glacier,8/12/2024,113,2330,3,24132,Portland State,Signed,https://247sports.com/player/jackson-presley-46130826/,,,,,,,,436.7,595.4
Kaleb Maryland,2026,84,3,11-May,185,QB,Texas,Houston,North Shore,7/31/2025,116,2397,306,24125,Utah State,Enrolled,https://247sports.com/player/kaleb-maryland-46143137/,,,,,,,,1235.6,1527.1
Donovan Moorhead,2026,85,3,5-Jun,215,QB,Ohio,Gates Mills,Hawken School,,105,1957,95,24201,Jacksonville State,Enrolled,https://247sports.com/player/donovan-moorhead-46135527/,,,,,,,,582.4,706.2
Kyden Barker,2026,85,3,1-Jun,215,QB,Texas,League City,Clear Falls,,87,1818,240,24058,Tulsa,Enrolled,https://247sports.com/player/kyden-barker-46140742/,,,,,,,,461.8,522.6
Brock Bradley,2026,85,3,Jun-00,190,QB,Alabama,Birmingham,Spain Park,,107,1959,80,24008,Clemson,Enrolled,https://247sports.com/player/brock-bradley-46141391/,,,,,,,,240.3,260.9
Anthony Coellner,2026,84,3,2-Jun,205,QB,Indiana,Carmel,Carmel,,125,2457,36,24007,Boston College,Enrolled,https://247sports.com/player/anthony-coellner-46140768/,,,,,,,,794,940
Jachin Davis,2026,84,3,Jun-00,195,QB,South Carolina,Goose Creek,Stratford,,133,2466,41,24138,Liberty,Enrolled,https://247sports.com/player/jachin-davis-46141781/,,,,,,,,305.2,358.8
Jacob Smith,2026,84,3,1-Jun,211,QB,North Carolina,Pfafftown,Reagan,,114,2331,65,24015,NC State,Enrolled,https://247sports.com/player/jacob-smith-46142263/,,,,,,,,98,111.3
Brady Vodicka,2026,85,3,2-Jun,215,QB,Colorado,Englewood,Cherry Creek,,98,1935,20,24121,Louisiana Tech,Enrolled,https://247sports.com/player/brady-vodicka-46147181/,,,,,,,,845.4,1043
Rocco Williams,2026,84,3,1-Jun,209,QB,Ohio,Pickerington,Pickerington Central,,110,2243,114,24113,Middle Tenn.,Enrolled,https://247sports.com/player/rocco-williams-46134845/,,,,,,,,341.2,418.7
Maika Eugenio,2026,85,3,Jun-00,205,QB,Nevada,Las Vegas,Bishop Gorman,,96,1912,13,24119,Hawaii,Enrolled,https://247sports.com/player/maika-eugenio-46140308/,,,,,,,,2755.5,N/A
Ziondre Williams,2026,85,3,11-May,170,QB,Texas,Anna,Anna,,121,1911,260,24114,North Texas,Enrolled,https://247sports.com/player/ziondre-williams-46145792/,,,,,,,,35.8,43.4
